[odo1] [odo2] [x] [y] 
-4.065049 -5.062137 -0.393231 0.280201
-4.026700 -5.062137 -0.394972 0.279968
-4.026700 -4.832039 -0.396756 0.279733
-3.950001 -4.678641 -0.398483 0.279508
-4.180098 -4.678641 -0.400147 0.279295
-4.525243 -4.716991 -0.401862 0.279077
-4.218447 -4.410195 -0.403637 0.278852
-4.026700 -4.448545 -0.405294 0.278644
-4.026700 -4.640292 -0.406937 0.278438
-4.410195 -4.525243 -0.408606 0.278231
-4.755341 -4.026700 -0.410262 0.278026
-4.563593 -4.026700 -0.411951 0.277817
-4.486894 -3.988350 -0.413778 0.277587
-4.333496 -4.410195 -0.415803 0.277331
-4.410195 -4.716991 -0.417879 0.277067
-4.563593 -4.832039 -0.419686 0.276837
-4.256797 -4.371845 -0.421524 0.276605
-4.218447 -4.218447 -0.423229 0.276391
-4.218447 -4.486894 -0.424886 0.276183
-4.563593 -4.985437 -0.426429 0.275989
-4.218447 -4.985437 -0.428154 0.275774
-3.911651 -4.985437 -0.429797 0.275571
-3.451457 -4.678641 -0.431359 0.275381
-3.451457 -4.678641 -0.432787 0.275210
-3.950001 -4.870389 -0.434514 0.275008
-4.410195 -4.870389 -0.436100 0.274826
-4.333496 -4.793690 -0.437752 0.274638
-3.988350 -4.678641 -0.439364 0.274457
-3.988350 -4.832039 -0.440901 0.274286
-4.295146 -4.985437 -0.442459 0.274115
-4.755341 -4.985437 -0.444091 0.273938
-4.908739 -4.947088 -0.445889 0.273744
-4.333496 -4.716991 -0.447816 0.273537
-4.333496 -4.448545 -0.449567 0.273350
-3.681554 -4.486894 -0.451292 0.273167
-4.256797 -4.870389 -0.452862 0.273001
-4.601943 -4.870389 -0.454638 0.272817
-4.371845 -4.448545 -0.456481 0.272627
-4.180098 -4.295146 -0.458164 0.272454
-4.410195 -4.448545 -0.459831 0.272284
-4.410195 -4.640292 -0.461519 0.272111
-4.716991 -4.563593 -0.463282 0.271931
-4.486894 -4.180098 -0.465446 0.271711
-4.065049 -4.180098 -0.467137 0.271538
-4.180098 -4.410195 -0.468779 0.271369
-4.640292 -4.908739 -0.470462 0.271197
-4.525243 -4.870389 -0.472284 0.271012
-4.525243 -4.486894 -0.474108 0.270827
-3.988350 -4.333496 -0.475883 0.270649
-3.911651 -4.180098 -0.477457 0.270490
-4.410195 -4.180098 -0.479037 0.270333
-4.678641 -4.525243 -0.480720 0.270165
-4.563593 -4.678641 -0.482494 0.269987
-4.103399 -4.256797 -0.484392 0.269797
-4.103399 -3.834952 -0.486022 0.269634
-3.911651 -4.601943 -0.487596 0.269476
-4.486894 -5.215535 -0.489260 0.269311
-4.755341 -5.215535 -0.491183 0.269122
-3.413107 -4.448545 -0.493135 0.268933
-3.796602 -4.755341 -0.494718 0.268782
-4.486894 -5.675729 -0.496383 0.268627
-4.486894 -5.253884 -0.498356 0.268448
-4.256797 -4.295146 -0.500264 0.268278
-3.374758 -4.333496 -0.501933 0.268132
-3.489806 -4.333496 -0.503449 0.268000
-3.950001 -4.371845 -0.504963 0.267871
-4.333496 -4.985437 -0.506533 0.267740
-4.180098 -4.601943 -0.508310 0.267593
-4.180098 -4.601943 -0.510090 0.267448
-3.796602 -4.985437 -0.511817 0.267309
-4.448545 -4.985437 -0.513526 0.267174
-4.141748 -4.985437 -0.515432 0.267027
-4.103399 -4.832039 -0.517234 0.266891
-4.256797 -5.062137 -0.518921 0.266766
-4.256797 -4.947088 -0.521055 0.266612
-4.256797 -4.563593 -0.523049 0.266472
-4.141748 -4.103399 -0.525082 0.266331
-4.486894 -3.604855 -0.526743 0.266217
-4.486894 -3.451457 -0.528085 0.266123
-4.601943 -3.451457 -0.529210 0.266043
-4.601943 -3.374758 -0.530354 0.265959
-4.716991 -3.374758 -0.531528 0.265871
-4.947088 -4.103399 -0.532683 0.265783
-4.947088 -4.410195 -0.534021 0.265678
-4.832039 -4.410195 -0.535351 0.265572
-4.448545 -4.218447 -0.536691 0.265464
-4.448545 -4.486894 -0.537941 0.265363
-4.486894 -4.486894 -0.539233 0.265259
-4.832039 -4.755341 -0.541469 0.265078
-4.256797 -4.295146 -0.544028 0.264870
-3.489806 -4.371845 -0.546337 0.264683
-3.873302 -4.486894 -0.548351 0.264522
-4.640292 -4.218447 -0.550498 0.264355
-4.295146 -3.758253 -0.552817 0.264175
-4.486894 -3.834952 -0.554971 0.264005
-4.908739 -3.988350 -0.557210 0.263825
-5.062137 -4.180098 -0.559579 0.263628
-4.755341 -4.218447 -0.562033 0.263419
-4.755341 -4.295146 -0.564447 0.263208
-4.870389 -4.333496 -0.566803 0.262998
-4.486894 -3.873302 -0.569208 0.262781
-4.295146 -3.796602 -0.571335 0.262585
-4.256797 -3.950001 -0.573455 0.262387
-4.180098 -4.103399 -0.575585 0.262186
-4.141748 -4.755341 -0.577758 0.261979
-4.371845 -4.678641 -0.580117 0.261756
-4.218447 -4.448545 -0.582463 0.261538
